LastActivity,AccountOwner,AccountName,State/Province,Type,Rating,LastModifiedDate,Country,HQCountry,AccountId,Region
7/26/19,Patrick McGrath,"Yum! Brands, Inc.",Kentucky,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000005HvcnAAC,SOUTHEAST
6/1/07,Joe Hliboki,NYCE Corporation,New Jersey,Prospect,C - General Interest (cont. to market),2/27/20,United States,"",00130000005IUDXAA4,NORTHEAST
7/22/20,Adam Swaney,Station Casinos Inc,Nevada,Prospect,"",6/19/20,United States,"",00130000005IUGYAA4,WEST
"",Adam Swaney,Southwest Gas Corporation,Nevada,Prospect,"",6/22/20,United States,"",00130000005IUGhAAO,WEST
7/27/12,Adam Swaney,"Ameristar Casinos, Inc.",Nevada,Prospect,"",2/26/20,United States,"",00130000005IUGzAAO,WEST
2/15/06,Tyler Bush,Hickory Farms Inc,Ohio,Prospect,"",3/13/20,United States,"",00130000005IUHHAA4,MIDWEST
3/23/20,Tyler Bush,"L Brands, Inc.",Ohio,Ex-Customer,R - Customer,6/19/20,United States,"",00130000005IUHXAA4,MIDWEST
12/10/19,Tyler Bush,Penn State Milton S. Hershey Medical Center,Pennsylvania,Prospect,C - General Interest (cont. to market),5/7/20,United States,"",00130000005Ia96AAC,MIDWEST
"",Adam Swaney,SunGard,UT,Prospect,"",4/7/20,United States,"",00130000005Ia9kAAC,WEST
3/14/19,Shannon Kimball,Continental Mills Inc,Washington,Prospect,"",3/11/20,United States,"",00130000005IaASAA0,WEST
4/21/20,Mark Ronson,"CB Richard Ellis Group, Inc.",California,Prospect,"",6/15/20,United States,"",00130000005IaBFAA0,WEST
3/6/18,Mark Ronson,Parsons Corporation,California,Prospect,"",6/19/20,United States,"",00130000005IaBYAA0,WEST
2/20/20,Jason Pearson,"MedAmerica, Inc.",California,Prospect,"",6/15/20,United States,"",00130000005IaBtAAK,WEST
4/24/09,Kyle Graves,Market Capture,Massachusetts,Prospect,"",8/13/19,United States,"",00130000005IamWAAS,NORTHEAST
4/23/08,Kyle Graves,"Casual Male Retail Group, Inc.",Massachusetts,Prospect,C - General Interest (cont. to market),8/13/19,United States,"",00130000005IanCAAS,NORTHEAST
6/15/20,Kyle Graves,Plymouth Rock Assurance,Massachusetts,Prospect,"",6/19/20,United States,"",00130000005IanXAAS,NORTHEAST
