LastActivity,AccountOwner,AccountName,State/Province,Type,Rating,LastModifiedDate,Country,HQCountry,AccountId,Region
1/27/20,Pavel Hruska,Erste Bank,null,Prospect,null,6/19/20,Austria,null,0016000000ZosqnAAB,EMEA
10/26/18,Vincent Steenhuis,Credit Agricole - CSC,null,Prospect,A - Active project (within 3 to 6  mths),3/5/20,FRA,null,0016000000ZozGSAAZ,EMEA
4/22/20,Mark Ronson,Amgen Inc.,California,Prospect,null,6/19/20,United States,null,0016000000ZofYyAAJ,WEST
6/27/19,Adam Swaney,DCP Midstream,Colorado,Prospect,null,6/19/20,United States,null,0016000000ZofZpAAJ,WEST
7/30/20,Tyler Bush,Zimmer Biomet,null,Prospect,null,6/19/20,United States,null,0010z00001YCJptAAH,SOUTHEAST
9/13/18,Adam Swaney,Great-West Financial,Colorado,Prospect,A - Active project (within 3 to 6  mths),6/19/20,United States,null,0016000000Zofa3AAB,WEST
12/18/19,Adam Swaney,IHS Markit,Colorado,Prospect,C - General Interest (cont. to market),6/19/20,United States,null,0016000000Zofa6AAB,WEST
12/1/18,Adam Swaney,Level 3 Communications,Colorado,Prospect,C - General Interest (cont. to market),4/7/20,United States,null,0016000000ZofaEAAR,WEST
7/27/20,Adam Swaney,Western Union Company,Colorado,Prospect,null,6/19/20,United States,null,0016000000ZofanAAB,WEST
6/19/13,Marilyn Von Hoenning,Infocontrol GmbH,null,Prospect,null,4/28/20,Germany,null,0016000000ZozB4AAJ,EMEA
null,Tyler Bush,National Real Estate Information Services NREIS,Pennsylvania,Prospect,null,3/13/20,United States,null,0016000000Zmz9tAAB,MIDWEST
11/1/07,Mike Washington,Aurum Holdings Ltd,England,Prospect,A - Active project (within 3 to 6  mths),3/5/20,United Kingdom,null,0016000000ZmvKYAAZ,EMEA
10/9/18,Gary Griffith,"Elavon, Inc.",Georgia,Ex-Customer,50,6/19/20,United States,null,0016000000fSoEyAAK,SOUTHEAST
10/1/19,Kateryna Hvastovich,Data Trust Associates,null,Partner,null,3/5/20,Belgium,null,0010z00001WOkwHAAT,EMEA
10/28/14,Gary Griffith,"Ministerio do Desenvolvimento, Industria e Comercio - MDIC",Distrito Federal,Ex-Customer,null,6/18/20,Brazil,null,0016000000fS8EoAAK,LATAM
1/13/12,Kyle Graves,IBM Canada Limited,Ontario,Non-Prospect,P - Partner,2/27/20,Canada,null,0016000000fTBCyAAO,NORTHEAST
3/5/12,Jason Pearson,Narus ( a Boeing Co.),California,Prospect,null,6/15/20,United States,null,0016000000fSceQAAS,WEST
7/27/12,Shannon Kimball,ODS,Oregon,Prospect,null,3/11/20,United States,null,0016000000fRkfxAAC,WEST
4/12/19,Simon Brender,Avaxam technology,Central Singapore Community Development Council,Prospect,null,7/29/20,Singapore,null,0010z00001V4cEcAAJ,APAC
7/29/20,Tho Yeong Chien,Techcombank,null,Prospect,null,7/29/20,Viet Nam,null,0010z00001ZsNHhAAN,APAC
7/7/20,Gary Griffith,Bank of America,null,Prospect,A - Active project (within 3 to 6  mths),6/19/20,United States,null,0016000000fTABvAAO,SOUTHEAST
1/23/12,Zachery Peters,University of Missouri - K.C. Repertory Theatre,Missouri,Prospect,null,7/24/20,United States,null,0016000000fSCkmAAG,CENTRAL
7/17/19,Kateryna Hvastovich,Teradata - United Kingdom,England,Partner,P - Partner,6/19/20,United Kingdom,null,0016000000fScV4AAK,EMEA
null,Shannon Kimball,PRO Sports Club,Washington,Prospect,null,6/19/20,United States,null,0016000000kOtX8AAK,WEST
4/12/19,Tho Yeong Chien,amzlists.tech,null,Prospect,null,7/29/20,India,null,0010z00001V4cEIAAZ,APAC
4/12/19,Simon Brender,Blue talon,Other,Competitor,null,6/6/19,India,null,0010z00001V4cEhAAJ,APAC
5/28/18,Adam Swaney,SCL Health System,Colorado,Prospect,null,6/19/20,United States,null,0016000001E2mrLAAR,WEST
1/28/19,Marilyn Von Hoenning,EDEKA ZENTRALE AG & Co. KG,Hamburg,Prospect,null,7/1/20,Germany,null,0016000001Ce0WdAAJ,EMEA
10/15/18,Simon Brender,Samsung Electronics Co. Ltd.,null,Ex-Customer,null,6/19/20,"Korea, Republic of",null,0016000000fP8mPAAS,APAC
11/22/11,Tho Yeong Chien,eNet Solutions Co. Ltd,null,Prospect,null,7/3/20,Japan,null,0016000000f3LNrAAM,APAC
10/11/12,Tyler Bush,TD Auto Finance,Michigan,Prospect,null,6/19/20,United States,null,0016000000fSXjQAAW,SOUTHEAST
1/5/12,Simon Brender,Myongji University,null,Ex-Customer,null,6/6/19,KOR,null,0016000000fSXLGAA4,APAC
2/20/20,Jason Pearson,San Francisco Housing Authority,California,Prospect,null,6/19/20,United States,null,0016000000fSQhtAAG,WEST
5/5/11,Tho Yeong Chien,Institute of Information Industry,null,Prospect,null,7/29/20,China,null,0016000000ZmnoaAAB,APAC
7/22/19,Kateryna Hvastovich,ID Hub Ukraine,null,Partner,null,4/15/20,Ukraine,null,0010z00001WOkckAAD,EMEA
10/2/19,Jean-Noel Roncelli,Carrefour SA,�le-de-France,Prospect,null,6/19/20,France,null,0016000001BboEoAAJ,EMEA
11/5/19,Jean-Noel Roncelli,Credit Agricole S.A.,�le-de-France,Prospect,null,6/19/20,France,null,0016000001BboDqAAJ,EMEA
5/7/20,Jean-Noel Roncelli,STIME-INTERMARCHE,null,Prospect,null,3/27/20,France,null,0016000001BboCkAAJ,EMEA
10/16/19,Mike Washington,Allen & Overy,England,Prospect,null,6/19/20,United Kingdom,null,0010z00001QBeMzAAL,EMEA
3/26/20,Michael Mosert,Evonik Industries AG,Deutschland,Prospect,null,3/5/20,DEU,null,0016000000kOlydAAC,EMEA
6/19/15,Joe Hliboki,"Managed Healthcare Associates, Inc.",New Jersey,Prospect,null,2/27/20,United States,null,0016000000k3E4WAAU,NORTHEAST
5/3/17,Sonny Covington,Kasasa ( BancVue),Texas,Ex-Customer,null,5/14/20,United States,null,0016000000kYeG5AAK,CENTRAL
3/2/20,Adam Swaney,Anschutz Corporation,Colorado,Prospect,null,6/19/20,United States,null,0010z00001YCKAXAA5,WEST
9/28/12,Zachery Peters,CONTRACO USA,Missouri,Prospect,null,7/24/20,United States,null,0016000000k1GE7AAM,CENTRAL
4/20/20,Jean-Noel Roncelli,GFI,null,Prospect,null,3/5/20,null,null,0010z00001YCLSuAAP,EMEA
null,Adam Swaney,LibertySmart,Utah,Prospect,null,4/7/20,United States,null,0016000000k2b26AAA,WEST
12/18/18,Mike Washington,Pentaho,null,Non-Prospect,N - Not a lead (do not market),3/5/20,United States,null,00160000012Z4dBAAS,EMEA
1/29/14,Kyle Graves,Valetude Breuer & Co.,Massachusetts,Prospect,null,8/13/19,United States,null,0016000000ujotiAAA,NORTHEAST
10/2/17,Kyle Graves,Aeroplan Canada Inc. (AIMIA),Quebec,Prospect,null,2/27/20,Canada,null,0016000000k2yy8AAA,NORTHEAST
null,Jason Pearson,"HGST, Inc. (Formerly Hitachi Global Storage Technologies)",California,Prospect,null,6/15/20,United States,null,0016000001ClLIAAA3,WEST
6/12/14,Tyler Bush,INetU Inc.,Pennsylvania,Prospect,null,3/13/20,United States,null,0016000000psJtAAAU,MIDWEST
8/28/18,Zachery Peters,Federal Home Loan Bank of Des Moines,Iowa,Prospect,null,7/24/20,United States,null,0016000000k3QoaAAE,CENTRAL
11/12/19,Vincent Steenhuis,NTT Data Italia,null,Prospect,C - General Interest (cont. to market),3/5/20,Italy,null,0016000000ovrniAAA,EMEA
11/12/19,Michael Kavalle,State of Minnesota,Minnesota,Prospect,null,6/19/20,United States,null,0010z00001QBf8NAAT,MIDWEST
5/24/13,Michael Kavalle,Chicago Metropolitan Agency for Planning (CMAP),Illinois,Prospect,null,4/1/20,United States,null,0016000000qe4lJAAQ,MIDWEST
9/12/19,Gary Griffith,CSRA,Maryland,Prospect,null,6/18/20,United States,null,0010z00001R9g24AAB,NORTHEAST
8/3/16,Mike Washington,Thames Water Utilities Limited,England,Prospect,null,3/5/20,United Kingdom,null,0016000001GI5saAAD,EMEA
7/13/20,Tyler Bush,OCLC,Ohio,Prospect,null,6/19/20,United States,null,0016000000ddfcPAAQ,MIDWEST
2/10/16,James Raspanti,"Return Path, Inc.",New York,Prospect,null,6/19/20,United States,null,0016000001CdFKpAAN,NORTHEAST
2/27/20,Marilyn Von Hoenning,Digital Hub Enel X,null,Prospect,null,3/5/20,Italy,null,0010z00001V4cEwAAJ,EMEA
6/21/19,Tho Yeong Chien,Bank Negara Malaysia,null,Prospect,null,7/29/20,Malaysia,null,0010z00001V4cC2AAJ,APAC
11/13/12,Gary Griffith,"Fujitsu America, Inc.",North Carolina,Non-Prospect,null,8/13/19,United States,null,0016000000kY3DYAA0,SOUTHEAST
4/8/15,Mark Ronson,TransCore,California,Prospect,null,6/19/20,United States,null,0016000000eKYsSAAW,WEST
4/5/15,Kateryna Hvastovich,Teradata - Latin Americas,null,Partner,P - Partner,11/22/19,Peru,null,0016000000eNK2NAAW,ROW
null,Mark Wagasky,Banco del Caribe,null,Prospect,A - Active project (within 3 to 6  mths),4/13/20,"Venezuela, Bolivarian Republic of",null,0016000000f0Ek2AAE,LATAM
null,Ian Stocks,Teradata Ireland,null,Prospect,null,6/26/20,null,null,0010z00001Zs9NIAAZ,EMEA
7/25/19,Sonny Covington,Ochsner Health System,Louisiana,Prospect,null,6/19/20,United States,null,0010z00001SVq5GAAT,CENTRAL
null,Mark Ronson,Luxury Link Travel Group,California,Prospect,null,6/15/20,United States,null,0016000000k0ksrAAA,WEST
6/26/20,Gary Griffith,"Citicorp Credit Services, Inc",Florida,Prospect,B - Possible project (within 3-9 mths),3/16/20,United States,null,0016000000f0Ad8AAE,NORTHEAST
7/11/12,Vincent Steenhuis,Imbani Media,null,Ex-Customer,null,4/13/20,South Africa,null,0016000000eNEEaAAO,EMEA
null,Adam Swaney,"Statera, Inc.",Arizona,Prospect,null,4/7/20,United States,null,0016000000kYVquAAG,WEST
1/10/12,Jason Pearson,POS Portal,California,Prospect,null,6/19/20,United States,null,0016000000ddQApAAM,WEST
null,Sonny Covington,Sally Beauty Holdings,Texas,Prospect,null,6/19/20,United States,null,0016000000eNFhRAAW,CENTRAL
1/23/20,David Bain,Bendigo and Adelaide Bank,Victoria,Prospect,null,7/29/20,Australia,null,0010z00001YAU1fAAH,APAC
1/30/20,Mike Washington,Unilever PLC,England,Prospect,null,6/19/20,United Kingdom,null,0016000000fSFNkAAO,EMEA
2/20/20,Michael Kavalle,"Groupon, Inc.",Illinois,Prospect,null,6/19/20,United States,null,0016000000k2bdGAAQ,MIDWEST
7/8/20,Kateryna Hvastovich,Teradata - United States,California,Partner,P - Partner,6/19/20,United States,null,0016000000eNJxEAAW,SOUTHEAST
2/21/20,Kateryna Hvastovich,Evotek,California,Prospective Partner,C - General Interest (cont. to market),6/19/20,United States,null,0010z00001V3GUfAAN,WEST
10/7/19,Patrick McGrath,Infinity Property and Casualty Corporation,Alabama,Prospect,null,8/13/19,United States,null,0010z00001SUeuJAAT,SOUTHEAST
10/19/11,Michael Kavalle,Minnesota Hospital Association,Minnesota,Prospect,null,4/1/20,United States,null,0016000000eJvHPAA0,MIDWEST
12/11/19,Mark Ronson,Happy Money Inc,California,Prospect,null,6/19/20,United States,null,0010z00001WiXCXAA3,WEST
11/19/19,Mike Washington,Transport for London & London Underground,England,Prospect,null,3/5/20,United Kingdom,null,0016000000Wf1LBAAZ,EMEA
10/9/13,Michael Kavalle,Illinois Department of Healthcare and Family Services,Illinois,Ex-Customer,null,4/1/20,United States,null,0016000000Weyz5AAB,MIDWEST
1/30/19,Gary Griffith,Cox Enterprises,Georgia,Prospect,null,6/19/20,United States,null,0016000000Wf1whAAB,SOUTHEAST
8/7/19,Jean-Noel Roncelli,Dassault-Aviation,null,Prospect,null,3/5/20,null,null,0010z00001V47FRAAZ,EMEA
2/27/19,Mike Washington,AT&T Global Network Service (UK),England,Prospect,null,6/19/20,United Kingdom,null,0016000000WeuSdAAJ,EMEA
6/16/20,Mike Washington,Sage Pay,England,Prospect,null,7/7/20,United Kingdom,null,0016000000Wf1FXAAZ,EMEA
9/7/19,Pavel Hruska,If P&C Insurance,S�dermanland County,Prospect,null,3/5/20,Sweden,null,0016000000WeYTzAAN,EMEA
12/4/19,Tho Yeong Chien,Prime Minister Office (Government Technology Agency) GOVTECH,null,Prospect,null,7/29/20,Singapore,null,0010z00001WP7ewAAD,APAC
8/30/19,Kateryna Hvastovich,Heap,null,Partner,null,6/19/20,null,null,0010z00001WhMOPAA3,WEST
1/16/20,James Raspanti,"Synchronoss Technologies, Inc.",New Jersey,Prospect,null,5/7/20,United States,null,0010z00001YApqiAAD,NORTHEAST
5/1/20,James Raspanti,Webster Bank,null,Prospect,null,6/19/20,United States,null,0010z00001Whl3vAAB,NORTHEAST
4/20/20,James Raspanti,Alexion Pharmaceuticals,null,Prospect,null,6/19/20,United States,null,0010z00001Whl3sAAB,NORTHEAST
2/21/20,Vincent Steenhuis,SABIC,null,Prospect,null,6/19/20,Saudi Arabia,null,0010z00001Whl3tAAB,EMEA
11/6/19,Mark Wagasky,ConnectiCare,null,Prospect,null,6/19/20,United States,null,0010z00001Whl3uAAB,NORTHEAST
1/27/20,Marilyn Von Hoenning,Landesbank Hessen-Th�ringen,null,Prospect,null,7/1/20,Germany,null,0010z00001YApUQAA1,EMEA
11/20/19,Amy Rankin,NerdWallet,null,Prospect,null,2/15/20,null,null,0010z00001WgwmXAAR,WEST
2/25/19,Vincent Steenhuis,Etihad Airways,Dubai,Prospect,null,6/19/20,United Arab Emirates,null,0010z00001TMfpZAAT,EMEA
4/1/20,James Raspanti,XPO Logistics,null,Prospect,null,6/19/20,United States,null,0010z00001Whl3rAAB,NORTHEAST
